Unnamed: 0,sender,date,parsed_datetime,date_only,week,month,year,days_since,email_body,company,subject,true_label
239,Talent Acquisition <careers@stryker.com>,"1/31/25, 12:00 AM",2025-01-31 00:00:00,2025-01-31,5,1,2025,70,"Hi Micheal Gary Scott,

Fantastic news - we'd love to have you join us at Stryker! I'm pleased to extend a formal offer for the Quantitative Analyst position.

The details:
- Compensation: $115,000 annually
- Start date: February 22, 2025
- Reports to: Robert Kim

We've attached the full offer package for your review. Take your time looking through it and let me know if you have any questions.

We're really excited about this!

Kevin Taylor
Stryker",Stryker,Your Stryker offer,acceptance
1888,EY HR <hr@ey.com>,"4/12/25, 12:00 AM",2025-04-12 00:00:00,2025-04-12,15,4,2025,-1,"Hi Michael Gary Scott,

We received a request to reset your password for your EY careers account.

Click here to reset your password: [Reset Link]

This link expires in 1 hour. If you didn't request this, please ignore this email.

Security Team
EY",EY,Password reset request,unrelated
1197,Elastic Careers <noreply@elastic.com>,"2/7/25, 12:00 AM",2025-02-07 00:00:00,2025-02-07,6,2,2025,63,"Dear Micheal Gary Scott,

Thank you for your interest in the Strategy Analyst role at Elastic. We were pleased with your initial application and would like to invite you to complete the next step in our process.

Please complete the following:
1. Online coding challenge (via CoderPad)
2. Short video introduction (2-3 minutes)

Both must be completed by March 31, 2025.

Access the assessment portal here: [Link]

Reach out if you need accommodations.

Elastic Hiring Team",Elastic,Next Steps: Strategy Analyst position at Elastic,action_required
1071,Talent Acquisition <careers@mckinsey.com>,"1/24/25, 12:00 AM",2025-01-24 00:00:00,2025-01-24,4,1,2025,77,"Dear Michael Gary Scott,

You have been invited to complete an assessment for the Systems Analyst position at McKinsey.

Assessment Type: Situational Judgment Test
Duration: Approximately 30 minutes
Deadline: January 23, 2025

This assessment helps us understand how you approach workplace scenarios. There are no right or wrong answers.

Click here to begin: [Assessment Link]

Best regards,
McKinsey People & Culture",McKinsey,Complete Assessment - McKinsey Application,action_required
335,Talent Acquisition <careers@medtronic.com>,"3/6/25, 12:00 AM",2025-03-06 00:00:00,2025-03-06,10,3,2025,36,"Hi Micheal Gary Scott,

Thank you for your interest in the Compliance Analyst role. We regret to inform you that we will not be moving forward with your candidacy for this position.

We encourage you to visit our website at careers.medtronic.com to view other opportunities that may align with your experience.

Best regards,
Medtronic Recruiting",Medtronic,Medtronic | Application update,rejection
1080,no-reply@pfizer.com,"5/1/25, 12:00 AM",2025-05-01 00:00:00,2025-05-01,18,5,2025,-20,"Hi Micheal Gary Scott,

As part of the application process for Marketing Analyst at Pfizer, we invite you to take our online assessment.

The assessment evaluates your analytical and problem-solving abilities. It should take about 45 minutes to complete.

Please complete it by February 10, 2025.

[Start Assessment]

Note: Once you begin, the timer will start and cannot be paused.

Thank you,
Pfizer",Pfizer,Assessment invitation from Pfizer,action_required
755,Intercom Careers <noreply@intercom.com>,"4/10/25, 12:00 AM",2025-04-10 00:00:00,2025-04-10,15,4,2025,1,"Hi Micheal Gary Scott,

Your interview for the Associate Consultant position at Intercom has been scheduled.

Date: January 26, 2025
Time: 4:00 PM EST
Format: Video call (link will be sent separately)
Interviewer: Kevin Taylor
Duration: 60 minutes

Please confirm your attendance by replying to this email. If you need to reschedule, let us know at least 24 hours in advance.

Good luck!

Intercom Recruiting Team",Intercom,Interview Scheduled - Associate Consultant at Intercom,interview
251,recruiting@microsoft.com,"1/1/25, 12:00 AM",2025-01-01 00:00:00,2025-01-01,1,1,2025,100,"Dear Micheal Gary Scott,

On behalf of Microsoft, I am pleased to extend an offer of employment for the position of Data Engineer.

We were truly impressed by your qualifications and believe you will be a great addition to our team. Please find the details of your offer below:

Position: Data Engineer
Start Date: February 21, 2025
Base Salary: $140,000 per year
Location: Hybrid

Please review the attached offer letter and respond within 5 business days.

Welcome aboard!

Daniel Wilson
HR Director, Microsoft",Microsoft,Congratulations! Offer for Data Engineer at Microsoft,acceptance
782,no-reply@mongodb.com,"2/3/25, 12:00 AM",2025-02-03 00:00:00,2025-02-03,6,2,2025,67,"Dear Michael Gary Scott,

Following our review of your application, we are pleased to invite you to an on-site interview at MongoDB for the Product Manager position.

Date: February 10, 2025
Location: MongoDB Headquarters
Time: 3:00 PM

Your interview day will include:
- Meeting with the hiring manager
- Technical assessment
- Team meet and greet
- Lunch with the team

Please bring a valid photo ID. We will reimburse any travel expenses.

Looking forward to meeting you in person!

James Williams
MongoDB",MongoDB,Interview details for Product Manager - MongoDB,interview
998,recruiting@stryker.com,"2/21/25, 12:00 AM",2025-02-21 00:00:00,2025-02-21,8,2,2025,49,"Dear Micheal Gary Scott,

We have reviewed your application for the Revenue Analyst role at Stryker and we are impressed with your background.

We would like to move you to the next step of our interview process. A recruiter will be reaching out to you within the next 2-3 business days to schedule an initial video interview.

In the meantime, please ensure your contact information is up to date in our system.

Best regards,
The Stryker Recruitment Team",Stryker,You've been selected! Next steps for Revenue Analyst at Stryker,interview
1327,Veeva Systems Careers <noreply@veevasystems.com>,"4/29/25, 12:00 AM",2025-04-29 00:00:00,2025-04-29,18,4,2025,-18,"Hello Michael Gary Scott,

We are excited about your application for the Data Analyst position at Veeva Systems. Before we can proceed, we need you to complete a few items:

- Complete the technical assessment (estimated time: 60 minutes)
- Upload a copy of your most recent transcript
- Fill out the additional questionnaire

Please complete these steps by March 08, 2025 to remain in consideration.

Thank you for your time and interest!

Veeva Systems Recruiting Team",Veeva Systems,Action Needed: Data Analyst application at Veeva Systems,action_required
1815,Talent Acquisition <careers@generalelectric.com>,"4/27/25, 12:00 AM",2025-04-27 00:00:00,2025-04-27,17,4,2025,-16,"Hi Micheal Gary Scott,

Looking for your next opportunity? Here are this week's tips:

1. Tailor your resume for each application
2. Follow up within a week of applying
3. Practice common interview questions
4. Network with industry professionals

Explore open roles: [Browse Jobs]

Good luck!
Career Advice Team",General Electric,Tips for your job search,unrelated
1006,no-reply@paloaltonetworks.com,"4/9/25, 12:00 AM",2025-04-09 00:00:00,2025-04-09,15,4,2025,2,"Dear Michael Gary Scott,

Thank you for your interest in the Pricing Analyst position at Palo Alto Networks. We were impressed by your background and would like to invite you for an interview.

We'd like to schedule a video interview at your earliest convenience. Please reply to this email with your availability for the coming week, or use the scheduling link below to book a time slot.

The interview will be approximately 45-60 minutes and will be conducted by Samantha Young, our hiring manager.

We look forward to speaking with you!

Best regards,
Samantha Young
Palo Alto Networks Talent Acquisition",Palo Alto Networks,Interview Invitation: Pricing Analyst at Palo Alto Networks,interview
1618,Talent Acquisition <careers@intuitivesurgical.com>,"1/4/25, 12:00 AM",2025-01-04 00:00:00,2025-01-04,1,1,2025,97,"Micheal Gary Scott, thank you for your interest in our Machine Learning Engineer role at Intuitive Surgical! We have received your application and are delighted that you would consider joining our team.

We will review your background and experience and get back to you if there is a potential fit. Due to the volume of applications we receive, only selected candidates will be contacted.

Best wishes,
Intuitive Surgical Hiring Team",Intuitive Surgical,Thank you for applying at Intuitive Surgical,in_process
1135,Siemens HR <hr@siemens.com>,"3/28/25, 12:00 AM",2025-03-28 00:00:00,2025-03-28,13,3,2025,14,"Hello Michael Gary Scott,

We are excited about your application for the Solutions Architect position at Siemens. Before we can proceed, we need you to complete a few items:

- Complete the technical assessment (estimated time: 60 minutes)
- Upload a copy of your most recent transcript
- Fill out the additional questionnaire

Please complete these steps by May 01, 2025 to remain in consideration.

Thank you for your time and interest!

Siemens Recruiting Team",Siemens,Action Needed: Solutions Architect application at Siemens,action_required
428,IQVIA Careers <noreply@iqvia.com>,"1/1/25, 12:00 AM",2025-01-01 00:00:00,2025-01-01,1,1,2025,100,"Hi Michael Gary Scott,

Thank you for your interest in IQVIA! Unfortunately, we have decided not to proceed with your candidacy for the current Engineering Manager opening. We received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role.

This does not reflect on your qualifications, and we encourage you to apply again in the future.

Wishing you the best,
Samantha Young
IQVIA",IQVIA,Application follow-up: IQVIA,rejection
38,Talent Acquisition <careers@homedepot.com>,"3/21/25, 12:00 AM",2025-03-21 00:00:00,2025-03-21,12,3,2025,21,"Dear Michael Gary Scott,

It gives me great pleasure to inform you that you have been selected as our new Healthcare Data Analyst. Congratulations on this well-deserved achievement!

We were thoroughly impressed throughout the interview process and are confident that you will thrive at Home Depot.

Your offer letter with full details is attached. Please don't hesitate to reach out with any questions.

Welcome aboard!

Best regards,
Ryan Allen
Chief People Officer
Home Depot",Home Depot,"Congratulations, Michael Gary Scott!",acceptance
