company,subject,date_only,email_body,rule_label,rule_confidence,final_label,sentiment_label,sentiment_compound,extracted_role,contact_person,contact_email,dates_mentioned,summary
Stryker,Your Stryker offer,2025-01-31,"Hi Micheal Gary Scott,

Fantastic news - we'd love to have you join us at Stryker! I'm pleased to extend a formal offer for the Quantitative Analyst position.

The details:
- Compensation: $115,000 annually
- Start date: February 22, 2025
- Reports to: Robert Kim

We've attached the full offer package for your review. Take your time looking through it and let me know if you have any questions.

We're really excited about this!

Kevin Taylor
Stryker",acceptance,0.95,acceptance,positive,1.0,,,,"February 22, 2025","i'm pleased to extend a formal offer for the quantitative analyst position. the details: - compensation: 115,000 annually - start date: february 22, 2025 - reports to: robert kim we've attached the full offer package for your review."
EY,Password reset request,2025-04-12,"Hi Michael Gary Scott,

We received a request to reset your password for your EY careers account.

Click here to reset your password: [Reset Link]

This link expires in 1 hour. If you didn't request this, please ignore this email.

Security Team
EY",unrelated,0.95,unrelated,neutral,0.0,,,,,"hi michael gary scott, we received a request to reset your password for your ey careers account. if you didn't request this, please ignore this email."
Elastic,Next Steps: Strategy Analyst position at Elastic,2025-02-07,"Dear Micheal Gary Scott,

Thank you for your interest in the Strategy Analyst role at Elastic. We were pleased with your initial application and would like to invite you to complete the next step in our process.

Please complete the following:
1. Online coding challenge (via CoderPad)
2. Short video introduction (2-3 minutes)

Both must be completed by March 31, 2025.

Access the assessment portal here: [Link]

Reach out if you need accommodations.

Elastic Hiring Team",action_required,0.95,action_required,positive,1.0,Strategy Analyst,,,"March 31, 2025","dear micheal gary scott, thank you for your interest in the strategy analyst role at elastic. we were pleased with your initial application and would like to invite you to complete the next step in our process."
McKinsey,Complete Assessment - McKinsey Application,2025-01-24,"Dear Michael Gary Scott,

You have been invited to complete an assessment for the Systems Analyst position at McKinsey.

Assessment Type: Situational Judgment Test
Duration: Approximately 30 minutes
Deadline: January 23, 2025

This assessment helps us understand how you approach workplace scenarios. There are no right or wrong answers.

Click here to begin: [Assessment Link]

Best regards,
McKinsey People & Culture",action_required,0.85,action_required,neutral,0.0,Systems Analyst,,,"January 23, 2025","dear michael gary scott, you have been invited to complete an assessment for the systems analyst position at mckinsey. assessment type: situational judgment test duration: approximately 30 minutes deadline: january 23, 2025 this assessment helps us understand how you approach workplace scenarios."
Medtronic,Medtronic | Application update,2025-03-06,"Hi Micheal Gary Scott,

Thank you for your interest in the Compliance Analyst role. We regret to inform you that we will not be moving forward with your candidacy for this position.

We encourage you to visit our website at careers.medtronic.com to view other opportunities that may align with your experience.

Best regards,
Medtronic Recruiting",rejection,0.95,rejection,negative,-1.0,Compliance Analyst,Medtronic Recruiting,,,"hi micheal gary scott, thank you for your interest in the compliance analyst role. we regret to inform you that we will not be moving forward with your candidacy for this position."
Pfizer,Assessment invitation from Pfizer,2025-05-01,"Hi Micheal Gary Scott,

As part of the application process for Marketing Analyst at Pfizer, we invite you to take our online assessment.

The assessment evaluates your analytical and problem-solving abilities. It should take about 45 minutes to complete.

Please complete it by February 10, 2025.

[Start Assessment]

Note: Once you begin, the timer will start and cannot be paused.

Thank you,
Pfizer",action_required,0.95,action_required,negative,-1.0,,,,"February 10, 2025","hi micheal gary scott, as part of the application process for marketing analyst at pfizer, we invite you to take our online assessment. the assessment evaluates your analytical and problem-solving abilities."
Intercom,Interview Scheduled - Associate Consultant at Intercom,2025-04-10,"Hi Micheal Gary Scott,

Your interview for the Associate Consultant position at Intercom has been scheduled.

Date: January 26, 2025
Time: 4:00 PM EST
Format: Video call (link will be sent separately)
Interviewer: Kevin Taylor
Duration: 60 minutes

Please confirm your attendance by replying to this email. If you need to reschedule, let us know at least 24 hours in advance.

Good luck!

Intercom Recruiting Team",interview,0.85,interview,neutral,0.0,Associate Consultant,,,"January 26, 2025","hi micheal gary scott, your interview for the associate consultant position at intercom has been scheduled. date: january 26, 2025 time: 4:00 pm est format: video call link will be sent separately interviewer: kevin taylor duration: 60 minutes please confirm your attendance by replying to this email."
Microsoft,Congratulations! Offer for Data Engineer at Microsoft,2025-01-01,"Dear Micheal Gary Scott,

On behalf of Microsoft, I am pleased to extend an offer of employment for the position of Data Engineer.

We were truly impressed by your qualifications and believe you will be a great addition to our team. Please find the details of your offer below:

Position: Data Engineer
Start Date: February 21, 2025
Base Salary: $140,000 per year
Location: Hybrid

Please review the attached offer letter and respond within 5 business days.

Welcome aboard!

Daniel Wilson
HR Director, Microsoft",acceptance,0.95,acceptance,positive,1.0,,,,"February 21, 2025","dear micheal gary scott, on behalf of microsoft, i am pleased to extend an offer of employment for the position of data engineer. please find the details of your offer below: position: data engineer start date: february 21, 2025 base salary: 140,000 per year location: hybrid please review the attached offer letter and respond within 5 business days."
MongoDB,Interview details for Product Manager - MongoDB,2025-02-03,"Dear Michael Gary Scott,

Following our review of your application, we are pleased to invite you to an on-site interview at MongoDB for the Product Manager position.

Date: February 10, 2025
Location: MongoDB Headquarters
Time: 3:00 PM

Your interview day will include:
- Meeting with the hiring manager
- Technical assessment
- Team meet and greet
- Lunch with the team

Please bring a valid photo ID. We will reimburse any travel expenses.

Looking forward to meeting you in person!

James Williams
MongoDB",interview,0.85,interview,positive,1.0,,,,"February 10, 2025","dear michael gary scott, following our review of your application, we are pleased to invite you to an on-site interview at mongodb for the product manager position. date: february 10, 2025 location: mongodb headquarters time: 3:00 pm your interview day will include: - meeting with the hiring manager - technical assessment - team meet and greet - lunch with the team please bring a valid photo id."
Stryker,You've been selected! Next steps for Revenue Analyst at Stryker,2025-02-21,"Dear Micheal Gary Scott,

We have reviewed your application for the Revenue Analyst role at Stryker and we are impressed with your background.

We would like to move you to the next step of our interview process. A recruiter will be reaching out to you within the next 2-3 business days to schedule an initial video interview.

In the meantime, please ensure your contact information is up to date in our system.

Best regards,
The Stryker Recruitment Team",interview,0.95,interview,positive,1.0,Revenue Analyst,The Stryker,,,we would like to move you to the next step of our interview process. a recruiter will be reaching out to you within the next 2-3 business days to schedule an initial video interview.
Veeva Systems,Action Needed: Data Analyst application at Veeva Systems,2025-04-29,"Hello Michael Gary Scott,

We are excited about your application for the Data Analyst position at Veeva Systems. Before we can proceed, we need you to complete a few items:

- Complete the technical assessment (estimated time: 60 minutes)
- Upload a copy of your most recent transcript
- Fill out the additional questionnaire

Please complete these steps by March 08, 2025 to remain in consideration.

Thank you for your time and interest!

Veeva Systems Recruiting Team",action_required,0.95,action_required,positive,1.0,Data Analyst,,,"March 08, 2025","hello michael gary scott, we are excited about your application for the data analyst position at veeva systems. before we can proceed, we need you to complete a few items: - complete the technical assessment estimated time: 60 minutes - upload a copy of your most recent transcript - fill out the additional questionnaire please complete these steps by march 08, 2025 to remain in consideration."
General Electric,Tips for your job search,2025-04-27,"Hi Micheal Gary Scott,

Looking for your next opportunity? Here are this week's tips:

1. Tailor your resume for each application
2. Follow up within a week of applying
3. Practice common interview questions
4. Network with industry professionals

Explore open roles: [Browse Jobs]

Good luck!
Career Advice Team",in_process,0.3,in_process,positive,1.0,,,,,"hi micheal gary scott, looking for your next opportunity? practice common interview questions 4."
Palo Alto Networks,Interview Invitation: Pricing Analyst at Palo Alto Networks,2025-04-09,"Dear Michael Gary Scott,

Thank you for your interest in the Pricing Analyst position at Palo Alto Networks. We were impressed by your background and would like to invite you for an interview.

We'd like to schedule a video interview at your earliest convenience. Please reply to this email with your availability for the coming week, or use the scheduling link below to book a time slot.

The interview will be approximately 45-60 minutes and will be conducted by Samantha Young, our hiring manager.

We look forward to speaking with you!

Best regards,
Samantha Young
Palo Alto Networks Talent Acquisition",interview,0.95,interview,positive,1.0,Pricing Analyst,Samantha Young,,,we were impressed by your background and would like to invite you for an interview. we'd like to schedule a video interview at your earliest convenience.
Intuitive Surgical,Thank you for applying at Intuitive Surgical,2025-01-04,"Micheal Gary Scott, thank you for your interest in our Machine Learning Engineer role at Intuitive Surgical! We have received your application and are delighted that you would consider joining our team.

We will review your background and experience and get back to you if there is a potential fit. Due to the volume of applications we receive, only selected candidates will be contacted.

Best wishes,
Intuitive Surgical Hiring Team",in_process,0.95,in_process,positive,1.0,our Machine Learning Engineer,,,,"micheal gary scott, thank you for your interest in our machine learning engineer role at intuitive surgical! we have received your application and are delighted that you would consider joining our team."
Siemens,Action Needed: Solutions Architect application at Siemens,2025-03-28,"Hello Michael Gary Scott,

We are excited about your application for the Solutions Architect position at Siemens. Before we can proceed, we need you to complete a few items:

- Complete the technical assessment (estimated time: 60 minutes)
- Upload a copy of your most recent transcript
- Fill out the additional questionnaire

Please complete these steps by May 01, 2025 to remain in consideration.

Thank you for your time and interest!

Siemens Recruiting Team",action_required,0.95,action_required,positive,1.0,Solutions Architect,,,"May 01, 2025","hello michael gary scott, we are excited about your application for the solutions architect position at siemens. before we can proceed, we need you to complete a few items: - complete the technical assessment estimated time: 60 minutes - upload a copy of your most recent transcript - fill out the additional questionnaire please complete these steps by may 01, 2025 to remain in consideration."
IQVIA,Application follow-up: IQVIA,2025-01-01,"Hi Michael Gary Scott,

Thank you for your interest in IQVIA! Unfortunately, we have decided not to proceed with your candidacy for the current Engineering Manager opening. We received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role.

This does not reflect on your qualifications, and we encourage you to apply again in the future.

Wishing you the best,
Samantha Young
IQVIA",rejection,0.95,rejection,negative,-0.6667,,Samantha Young,,,"unfortunately, we have decided not to proceed with your candidacy for the current engineering manager opening. we received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role."
Home Depot,"Congratulations, Michael Gary Scott!",2025-03-21,"Dear Michael Gary Scott,

It gives me great pleasure to inform you that you have been selected as our new Healthcare Data Analyst. Congratulations on this well-deserved achievement!

We were thoroughly impressed throughout the interview process and are confident that you will thrive at Home Depot.

Your offer letter with full details is attached. Please don't hesitate to reach out with any questions.

Welcome aboard!

Best regards,
Ryan Allen
Chief People Officer
Home Depot",acceptance,0.95,acceptance,positive,1.0,,Ryan Allen,,,congratulations on this well-deserved achievement! we were thoroughly impressed throughout the interview process and are confident that you will thrive at home depot.
Cohere,Your job application status,2025-03-02,"Cohere

Micheal Gary Scott,

Thank you for your interest in the Healthcare Data Analyst position at Cohere. At this time we're sorry to let you know we're moving forward with other candidates.

Please continue to visit our careers page for future opportunities.

Cohere Talent Acquisition Team",rejection,0.95,rejection,negative,-1.0,Healthcare Data Analyst,,,,"cohere micheal gary scott, thank you for your interest in the healthcare data analyst position at cohere. at this time we're sorry to let you know we're moving forward with other candidates."
Stryker,Update on your Stryker application,2025-02-01,"Dear Michael Gary Scott,

Thank you for your interest in the Customer Success Manager position at Stryker and for taking the time to apply.

After careful consideration, we regret to inform you that we have decided not to move forward with your application at this time. We received many qualified applicants and this was a difficult decision.

We encourage you to apply for future openings that match your skills and experience. We wish you the best in your career search.

Sincerely,
Stryker Talent Acquisition",rejection,0.95,rejection,negative,-0.6667,Customer Success Manager,,,,"dear michael gary scott, thank you for your interest in the customer success manager position at stryker and for taking the time to apply. after careful consideration, we regret to inform you that we have decided not to move forward with your application at this time."
PwC,Schedule your interview with PwC,2025-04-14,"Hi Michael Gary Scott,

Great news! After reviewing your application for the Data Engineer role, we'd like to move forward with an interview.

Please use the following link to schedule your interview:
[Scheduling Link]

The phone screen will last approximately 30 minutes and will cover your background, experience, and interest in the role.

If you have any questions, feel free to reach out to me directly.

Best,
Samantha Young
Recruiter, PwC",interview,0.95,interview,positive,1.0,Data Engineer,,,,"after reviewing your application for the data engineer role, we'd like to move forward with an interview. please use the following link to schedule your interview: scheduling link the phone screen will last approximately 30 minutes and will cover your background, experience, and interest in the role."
Coursera,We received your application for Full Stack Developer,2025-02-05,"Dear Michael Gary Scott,

Thank you for your interest in the Full Stack Developer position at Coursera. We want to let you know that we have received your application materials.

Our recruiting team reviews every application thoroughly. We will be in contact with you regarding the status of your application.

Please do not reply to this automated message.

Sincerely,
Coursera Human Resources",in_process,0.85,in_process,neutral,0.0,Full Stack Developer,,,,"dear michael gary scott, thank you for your interest in the full stack developer position at coursera. we want to let you know that we have received your application materials."
Atlassian,Your Atlassian offer,2025-02-11,"Hi Michael Gary Scott,

Fantastic news - we'd love to have you join us at Atlassian! I'm pleased to extend a formal offer for the Solutions Architect position.

The details:
- Compensation: $105,000 annually
- Start date: March 13, 2025
- Reports to: Jennifer Lee

We've attached the full offer package for your review. Take your time looking through it and let me know if you have any questions.

We're really excited about this!

James Williams
Atlassian",acceptance,0.95,acceptance,positive,1.0,,,,"March 13, 2025","i'm pleased to extend a formal offer for the solutions architect position. the details: - compensation: 105,000 annually - start date: march 13, 2025 - reports to: jennifer lee we've attached the full offer package for your review."
edX,Thank you for applying to edX!,2025-01-19,"Dear Michael Gary Scott,

Thank you for applying to the Business Analyst position at edX. We have received your application and our recruiting team will review your qualifications carefully.

If your background aligns with our requirements, a member of our team will reach out to discuss next steps. Please note that due to the high volume of applications, this process may take several weeks.

In the meantime, you can track your application status through our careers portal.

Best regards,
edX Talent Acquisition",in_process,0.95,in_process,neutral,0.0,Business Analyst,,,,"we have received your application and our recruiting team will review your qualifications carefully. if your background aligns with our requirements, a member of our team will reach out to discuss next steps."
Confluent,Your job application status,2025-02-18,"Confluent

Micheal Gary Scott,

Thank you for your interest in the Pricing Analyst position at Confluent. At this time we're sorry to let you know we're moving forward with other candidates.

Please continue to visit our careers page for future opportunities.

Confluent Talent Acquisition Team",rejection,0.95,rejection,negative,-1.0,Pricing Analyst,,,,"confluent micheal gary scott, thank you for your interest in the pricing analyst position at confluent. at this time we're sorry to let you know we're moving forward with other candidates."
